"full_name","a","e","i","om","w","q","ad","per.y","data_arc","condition_code","n_obs_used","n_del_obs_used","n_dop_obs_used","H"
"       (2014 HH197)",1.874,0.4115,8.55,217.55,337.46,1.103,2.65,2.57,1,9,15,,,26.70
"       (2014 HJ197)",1.021,0.1676,0.83,214.65,255.53,0.850,1.19,1.03,2,8,28,,,30.30
"       (2014 HK197)",2.254,0.6355,5.55,31.63,254.31,0.821,3.69,3.38,2,9,20,,,26.40
"       (2014 HL197)",1.318,0.1574,11.09,212.31,344.86,1.111,1.53,1.51,1,9,20,,,26.60
"       (2014 HM197)",2.26,0.6310,4.63,215.86,65.67,0.834,3.69,3.4,5,9,31,,,27.20
"       (2014 HN197)",2.85,0.7751,4.09,268.46,171.44,0.641,5.06,4.81,4,9,26,,,19.70
"       (2014 HO197)",2.3,0.4899,3.86,226.09,21.56,1.173,3.43,3.49,1,9,16,,,26.10
"       (2014 HP197)",1.184,0.1749,9.77,32.14,263.25,0.977,1.39,1.29,2,9,20,,,26.20
"       (2014 HQ197)",2.066,0.4714,11.74,33.10,169.37,1.092,3.04,2.97,8,9,53,,,25.60
"       (2014 HR197)",1.586,0.5855,3.58,31.25,278.47,0.657,2.51,2,1,9,15,,,27.10
"       (2014 HS197)",2.356,0.6833,6.70,212.88,288.39,0.746,3.97,3.62,2,8,32,,,29.40
"       (2014 HT197)",2.235,0.6070,2.07,39.56,234.52,0.878,3.59,3.34,7,9,26,,,28.70
"       (2014 HV197)",1.404,0.2410,5.54,208.71,34.52,1.066,1.74,1.66,1,9,20,,,26.60
"       (2014 HW197)",2.841,0.5552,13.11,219.27,24.64,1.263,4.42,4.79,2,9,24,,,25.30
"       (2014 HX197)",1.844,0.3123,17.54,217.13,3.90,1.268,2.42,2.5,2,9,30,,,24.70
"       (2014 HY197)",1.439,0.2780,2.62,214.98,22.27,1.039,1.84,1.73,1,9,13,,,28.60
